StateAbbreviation,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,MapDate
CA,27.15,"42,930.50","20,755,113.13",55.71,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-01-09
CA,2.62,"4,149.53","473,834.05",1.27,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-01-09
CA,65.03,"102,849.26","25,352,363.78",68.05,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-01-16
CA,27.15,"42,930.50","20,755,113.13",55.71,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-01-16
CA,2.62,"4,149.53","473,834.05",1.27,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-01-16
CA,89.28,"141,197.48","36,716,870.25",98.56,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-01-23
CA,46.97,"74,284.03","23,010,857.45",61.77,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-01-23
CA,17.72,"28,029.04","3,456,733.78",9.28,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-01-23
CA,90.18,"142,613.14","36,728,509.05",98.59,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-01-30
CA,61.27,"96,891.40","24,912,205.27",66.87,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-01-30
CA,22.87,"36,171.04","5,944,854.25",15.96,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-01-30
CA,90.36,"142,897.12","36,730,517.79",98.59,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-02-06
CA,61.27,"96,891.40","24,912,205.27",66.87,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-02-06
CA,24.23,"38,313.32","5,811,913.93",15.60,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-02-06
CA,75.05,"118,688.61","29,826,544.31",80.06,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-02-13
CA,54.44,"86,095.73","24,022,277.70",64.48,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-02-13
CA,29.73,"47,014.22","17,732,885.06",47.60,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-02-13
CA,84.82,"134,148.93","33,024,961.73",88.65,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-02-20
CA,59.19,"93,608.11","24,195,581.22",64.95,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-02-20
CA,29.64,"46,875.22","17,740,479.36",47.62,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-02-20
CA,74.59,"117,965.07","31,564,937.58",84.73,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-02-27
CA,54.02,"85,432.49","24,043,291.93",64.54,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-02-27
CA,28.80,"45,544.49","17,624,943.24",47.31,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-02-27
CA,74.59,"117,965.07","31,564,937.58",84.73,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-03-06
CA,54.02,"85,432.49","24,043,291.93",64.54,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-03-06
CA,28.80,"45,544.49","17,624,943.24",47.31,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-03-06
CA,74.59,"117,965.07","31,564,937.58",84.73,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-03-13
CA,59.37,"93,893.29","24,711,880.12",66.33,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-03-13
CA,32.59,"51,542.53","19,138,894.59",51.37,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-03-13
CA,21.23,"33,581.69","14,370,906.34",38.58,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-03-13
CA,74.56,"117,913.06","31,477,937.33",84.50,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-03-20
CA,59.60,"94,249.15","24,713,408.01",66.34,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-03-20
CA,32.59,"51,542.53","19,138,894.59",51.37,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-03-20
CA,21.23,"33,581.69","14,370,906.34",38.58,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-03-20
CA,80.05,"126,594.66","36,001,365.78",96.64,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-03-27
CA,60.74,"96,063.13","24,717,590.31",66.35,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-03-27
CA,33.69,"53,272.89","19,144,723.11",51.39,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-03-27
CA,21.32,"33,714.38","14,371,485.39",38.58,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-03-27
CA,91.48,"144,675.54","37,013,729.36",99.36,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-04-03
CA,63.02,"99,668.83","25,138,730.05",67.48,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-04-03
CA,33.01,"52,205.81","19,142,789.79",51.38,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-04-03
